Start (MSK Time Zone),Duration (min),Title,Speakers,URL
22/07/2024 18:00:00,90,"Прагматичная архитектура: как проектировать Go-приложение, руководствуясь чисто практическими соображениями","Даниил Подольский, YADRO-company",https://conf.ontico.ru/lectures/5088349/discuss
22/07/2024 10:00:00,45,"Алиса? Салют? Алекса? Нет, <Название ассистента в разработке> !",Эдгар Сипки,https://conf.ontico.ru/lectures/5389176/discuss
24/07/2024 10:00:00,90,"Меньше кода, больше результата: применяем SQLC для работы с БД ","Евгений Конечный, Uzum Tezkor",https://golangconf.ru/2024/abstracts/11907
29/07/2024 13:00:00,229,"Видишь суслика? А он есть! Как перехала на Go главная страница Яндекса","Вячеслав Круглов, Яндекс",https://golangconf.ru/2024/abstracts/12143
